============================================================
  TRANSITION DETECTION RATE (TDR) — TEST SET
============================================================
  Probability threshold      : 0.3
  Early-warning window       : 14 days
  Total INACTIVE periods     : 137
  Detected periods           : 120
  Transition Detection Rate  : 87.6%
  Mean lead time (detected)  : 13.7 days
  Median lead time           : 14.0 days
============================================================

Per-period breakdown:
                     dev period_start period_end  period_length_days  detected  lead_time_days  max_prob_in_window
David Heinemeier Hansson   2005-05-30 2005-06-01                   3      True            14.0            0.997366
David Heinemeier Hansson   2006-05-12 2006-05-20                   9      True            14.0            0.996587
David Heinemeier Hansson   2006-10-05 2006-10-07                   3     False             NaN            0.135110
David Heinemeier Hansson   2006-12-25 2006-12-26                   2      True            14.0            0.996879
David Heinemeier Hansson   2007-06-16 2007-06-22                   7      True            14.0            0.996403
David Heinemeier Hansson   2007-12-30 2007-12-30                   1      True            14.0            0.987030
David Heinemeier Hansson   2009-01-26 2009-01-26                   1      True            14.0            0.998698
David Heinemeier Hansson   2009-06-30 2009-11-22                 146      True            14.0            0.421218
David Heinemeier Hansson   2010-11-29 2010-12-17                  19      True            14.0            0.994390
David Heinemeier Hansson   2011-09-14 2011-10-12                  29      True            10.0            0.997339
David Heinemeier Hansson   2015-09-29 2015-10-06                   8      True            14.0            0.999080
David Heinemeier Hansson   2022-01-12 2022-01-17                   6      True            14.0            0.998859
David Heinemeier Hansson   2022-02-17 2022-03-31                  43      True            14.0            0.999544
David Heinemeier Hansson   2022-04-29 2022-05-05                   7      True            14.0            0.999344
David Heinemeier Hansson   2022-07-20 2022-07-20                   1      True            14.0            0.998726
David Heinemeier Hansson   2022-08-25 2022-09-06                  13      True            14.0            0.993146
David Heinemeier Hansson   2022-09-29 2022-10-16                  18      True            14.0            0.999236
David Heinemeier Hansson   2022-11-08 2022-11-11                   4      True            14.0            0.999093
David Heinemeier Hansson   2022-12-04 2022-12-05                   2      True            14.0            0.998879
David Heinemeier Hansson   2023-06-12 2023-07-23                  42      True            14.0            0.996425
David Heinemeier Hansson   2023-09-12 2023-09-13                   2      True            14.0            0.994040
David Heinemeier Hansson   2023-09-15 2023-09-15                   1      True            14.0            0.989859
        MDQ6VXNlcjE5OQ==   2005-07-25 2005-09-25                  63     False             NaN                 NaN
        MDQ6VXNlcjE5OQ==   2005-12-24 2006-02-08                  47      True            14.0            0.995966
        MDQ6VXNlcjE5OQ==   2008-09-22 2008-10-05                  14      True            14.0            0.997679
        MDQ6VXNlcjE5OQ==   2008-10-23 2008-10-23                   1      True            14.0            0.992392
        MDQ6VXNlcjE5OQ==   2009-07-20 2009-07-28                   9      True            14.0            0.994431
        MDQ6VXNlcjE5OQ==   2009-10-08 2009-10-09                   2      True            14.0            0.996288
        MDQ6VXNlcjE5OQ==   2010-01-24 2010-01-25                   2     False             NaN            0.004952
        MDQ6VXNlcjE5OQ==   2010-05-08 2010-05-14                   7      True            14.0            0.995909
        MDQ6VXNlcjE5OQ==   2010-06-02 2010-06-04                   3      True            14.0            0.996011
