org,repo,split
JabRef,jabref,test
Rdatatable,data.table,test
rails,rails,test
python,cpython,train
nodejs,node,train
atom,atom,train
ionic-team,ionic-framework,train
facebook,react,train
jekyll,jekyll,train
laravel,framework,train
jquery,jquery,train
MinecraftForge,MinecraftForge,train
SpaceVim,SpaceVim,train
flutter,flutter,train
fastlane,fastlane,train
crystal-lang,crystal,train
BabylonJS,Babylon.js,train
elixir-lang,elixir,train
github,linguist,train
rust-lang,rust,train
golang,go,train
JuliaLang,julia,train
ziglang,zig,train
vuejs,vue,train
angular,angular,train
sveltejs,svelte,train
twbs,bootstrap,train
tailwindlabs,tailwindcss,train
vitejs,vite,train
webpack,webpack,train
evanw,esbuild,train
babel,babel,train
django,django,train
pallets,flask,train
expressjs,express,train
spring-projects,spring-boot,train
nestjs,nest,train
neovim,neovim,train
microsoft,vscode,train
lapce,lapce,train
pandas-dev,pandas,train
numpy,numpy,train
tensorflow,tensorflow,train
pytorch,pytorch,train
apache,spark,train
godotengine,godot,train
bevyengine,bevy,train
MonoGame,MonoGame,train
facebook,react-native,train
expo,expo,train
redis,redis,train
cockroachdb,cockroach,train
supabase,supabase,train
ohmyzsh,ohmyzsh,train
sindresorhus,awesome,train
public-apis,public-apis,train
danistefanovic,build-your-own-x,train
