============================================================
  TRANSITION DETECTION RATE (TDR) — TEST SET
============================================================
  Probability threshold      : 0.3
  Early-warning window       : 14 days
  Total INACTIVE periods     : 299
  Detected periods           : 117
  Transition Detection Rate  : 39.1%
  Mean lead time (detected)  : 12.6 days
  Median lead time           : 14.0 days
============================================================

Per-period breakdown:
                     dev period_start period_end  period_length_days  detected  lead_time_days  max_prob_in_window
David Heinemeier Hansson   2005-01-26 2005-02-05                  11     False             NaN                 NaN
David Heinemeier Hansson   2005-05-23 2005-06-01                  10      True            14.0            0.562004
David Heinemeier Hansson   2005-07-29 2005-08-23                  26     False             NaN            0.279956
David Heinemeier Hansson   2005-11-22 2005-12-01                  10      True             6.0            0.591110
David Heinemeier Hansson   2006-05-03 2006-05-20                  18     False             NaN            0.006377
David Heinemeier Hansson   2006-07-07 2006-07-25                  19      True            14.0            0.607686
David Heinemeier Hansson   2006-08-15 2006-08-24                  10     False             NaN            0.003079
David Heinemeier Hansson   2006-09-21 2006-10-07                  17     False             NaN            0.000632
David Heinemeier Hansson   2006-12-06 2006-12-26                  21     False             NaN            0.004950
David Heinemeier Hansson   2007-01-16 2007-01-23                   8     False             NaN            0.004277
David Heinemeier Hansson   2007-02-07 2007-02-14                   8     False             NaN            0.001296
David Heinemeier Hansson   2007-03-08 2007-03-26                  19     False             NaN            0.009041
David Heinemeier Hansson   2007-03-29 2007-04-12                  15     False             NaN            0.002067
David Heinemeier Hansson   2007-06-02 2007-06-22                  21     False             NaN            0.000844
David Heinemeier Hansson   2007-06-29 2007-07-08                  10     False             NaN            0.002171
David Heinemeier Hansson   2007-07-10 2007-07-23                  14     False             NaN            0.003458
David Heinemeier Hansson   2007-08-03 2007-08-20                  18     False             NaN            0.001290
David Heinemeier Hansson   2007-08-22 2007-09-08                  18     False             NaN            0.006929
David Heinemeier Hansson   2007-12-18 2007-12-30                  13     False             NaN            0.000191
David Heinemeier Hansson   2008-01-23 2008-02-06                  15     False             NaN            0.000362
David Heinemeier Hansson   2008-02-08 2008-02-28                  21     False             NaN            0.003254
David Heinemeier Hansson   2008-07-20 2008-08-14                  26     False             NaN            0.012070
David Heinemeier Hansson   2008-09-11 2008-10-12                  32     False             NaN            0.099897
David Heinemeier Hansson   2009-01-02 2009-01-26                  25     False             NaN            0.000169
David Heinemeier Hansson   2009-02-11 2009-02-21                  11      True            14.0            0.505522
David Heinemeier Hansson   2009-03-17 2009-04-15                  30     False             NaN            0.001492
David Heinemeier Hansson   2009-04-17 2009-05-10                  24     False             NaN            0.000359
David Heinemeier Hansson   2009-05-12 2009-11-22                 195     False             NaN            0.000150
David Heinemeier Hansson   2009-11-24 2009-12-14                  21     False             NaN            0.007215
David Heinemeier Hansson   2010-01-12 2010-02-01                  21      True             5.0            0.473649
David Heinemeier Hansson   2010-02-14 2010-02-24                  11      True            14.0            0.366104
David Heinemeier Hansson   2010-02-26 2010-03-28                  31     False             NaN            0.007702
David Heinemeier Hansson   2010-04-14 2010-05-30                  47     False             NaN            0.000390
David Heinemeier Hansson   2010-06-10 2010-06-23                  14     False             NaN            0.014363
David Heinemeier Hansson   2010-06-25 2010-07-25                  31     False             NaN            0.020155
David Heinemeier Hansson   2010-09-03 2010-12-17                 106     False             NaN            0.004014
David Heinemeier Hansson   2011-01-10 2011-03-10                  60     False             NaN            0.139915
David Heinemeier Hansson   2011-04-01 2011-04-09                   9     False             NaN            0.038962
David Heinemeier Hansson   2011-07-12 2011-07-30                  19     False             NaN            0.000399
David Heinemeier Hansson   2011-08-24 2011-10-12                  50     False             NaN            0.000147
David Heinemeier Hansson   2011-10-26 2011-11-30                  36     False             NaN            0.167719
David Heinemeier Hansson   2011-12-21 2012-01-26                  37     False             NaN            0.148890
David Heinemeier Hansson   2012-05-09 2012-07-26                  79     False             NaN            0.118884
David Heinemeier Hansson   2012-11-01 2012-11-25                  25     False             NaN            0.000465
David Heinemeier Hansson   2015-09-10 2015-10-12                  33     False             NaN            0.000813
David Heinemeier Hansson   2015-10-31 2015-12-03                  34      True            14.0            0.842807
David Heinemeier Hansson   2015-12-05 2015-12-05                   1      True            14.0            0.794535
David Heinemeier Hansson   2016-03-22 2016-04-03                  13      True            14.0            0.822732
David Heinemeier Hansson   2016-04-20 2016-05-11                  22      True            14.0            0.700634
David Heinemeier Hansson   2016-05-13 2016-05-20                   8      True            14.0            0.733377
David Heinemeier Hansson   2017-08-31 2017-09-10                  11     False             NaN            0.010754
David Heinemeier Hansson   2017-10-01 2017-10-23                  23     False             NaN            0.000739
David Heinemeier Hansson   2019-08-27 2019-10-15                  50      True            14.0            0.957829
David Heinemeier Hansson   2020-07-17 2020-11-22                 129      True            14.0            0.920429
David Heinemeier Hansson   2022-02-26 2022-05-05                  69      True            14.0            0.461969
David Heinemeier Hansson   2022-05-24 2022-07-14                  52     False             NaN            0.205141
David Heinemeier Hansson   2022-08-04 2022-10-16                  74     False             NaN            0.245770
David Heinemeier Hansson   2022-11-04 2022-12-05                  32     False             NaN            0.051946
David Heinemeier Hansson   2022-12-07 2022-12-07                   1     False             NaN            0.001474
David Heinemeier Hansson   2023-07-25 2023-09-13                  51     False             NaN            0.050683
David Heinemeier Hansson   2023-10-21 2023-12-04                  45      True            14.0            0.721042
David Heinemeier Hansson   2024-06-16 2024-07-13                  28      True            14.0            0.612442
David Heinemeier Hansson   2026-03-08 2026-04-09                  33      True            14.0            0.948643
        MDQ6VXNlcjE5OQ==   2005-07-14 2005-09-25                  74     False             NaN                 NaN
        MDQ6VXNlcjE5OQ==   2005-12-14 2006-02-08                  57      True            14.0            0.932252
        MDQ6VXNlcjE5OQ==   2006-02-10 2006-02-21                  12      True            14.0            0.995501
        MDQ6VXNlcjE5OQ==   2006-03-14 2006-05-05                  53     False             NaN            0.015098
        MDQ6VXNlcjE5OQ==   2006-06-04 2006-06-18                  15      True             3.0            0.862414
        MDQ6VXNlcjE5OQ==   2006-07-11 2006-07-23                  13     False             NaN            0.026250
        MDQ6VXNlcjE5OQ==   2007-06-29 2007-08-30                  63     False             NaN            0.066423
        MDQ6VXNlcjE5OQ==   2007-09-01 2007-09-07                   7      True            14.0            0.853550
        MDQ6VXNlcjE5OQ==   2008-02-29 2008-03-12                  13     False             NaN            0.057637
        MDQ6VXNlcjE5OQ==   2008-07-19 2008-07-27                   9     False             NaN            0.124721
        MDQ6VXNlcjE5OQ==   2008-09-11 2008-10-05                  25      True            14.0            0.798611
        MDQ6VXNlcjE5OQ==   2008-10-07 2008-10-23                  17     False             NaN            0.060838
        MDQ6VXNlcjE5OQ==   2008-10-25 2008-11-06                  13     False             NaN            0.077417
        MDQ6VXNlcjE5OQ==   2009-01-18 2009-01-26                   9     False             NaN            0.000007
        MDQ6VXNlcjE5OQ==   2009-02-08 2009-02-20                  13     False             NaN            0.000066
        MDQ6VXNlcjE5OQ==   2009-06-10 2009-06-17                   8     False             NaN            0.000519
        MDQ6VXNlcjE5OQ==   2009-06-20 2009-06-30                  11     False             NaN            0.000299
        MDQ6VXNlcjE5OQ==   2009-07-02 2009-07-28                  27     False             NaN            0.000604
        MDQ6VXNlcjE5OQ==   2009-09-26 2009-10-09                  14      True            14.0            0.984368
        MDQ6VXNlcjE5OQ==   2009-12-08 2009-12-20                  13     False             NaN            0.016809
        MDQ6VXNlcjE5OQ==   2010-01-09 2010-01-25                  17     False             NaN            0.002232
        MDQ6VXNlcjE5OQ==   2010-05-01 2010-05-14                  14     False             NaN            0.007423
        MDQ6VXNlcjE5OQ==   2010-05-26 2010-06-04                  10      True             5.0            0.496020
        MDQ6VXNlcjE5OQ==   2010-07-23 2010-08-08                  17      True            14.0            0.924606
        MDQ6VXNlcjE5OQ==   2010-09-11 2010-10-25                  45      True            14.0            0.945261
        MDQ6VXNlcjE5OQ==   2010-10-27 2011-01-07                  73      True            14.0            0.984412
        MDQ6VXNlcjE5OQ==   2012-06-01 2012-06-20                  20     False             NaN            0.001218
        MDQ6VXNlcjE5OQ==   2012-07-17 2012-08-02                  17     False             NaN            0.054669
        MDQ6VXNlcjE5OQ==   2012-08-27 2012-09-10                  15      True             7.0            0.311778
        MDQ6VXNlcjE5OQ==   2012-09-12 2012-09-12                   1      True            14.0            0.366240
        MDQ6VXNlcjE5OQ==   2013-06-16 2013-07-25                  40     False             NaN            0.000173
        MDQ6VXNlcjE5OQ==   2013-08-17 2013-09-07                  22     False             NaN            0.045754
        MDQ6VXNlcjE5OQ==   2014-11-25 2014-12-18                  24     False             NaN            0.000077
        MDQ6VXNlcjE5OQ==   2015-04-08 2015-07-13                  97     False             NaN            0.003317
        MDQ6VXNlcjE5OQ==   2015-08-16 2015-09-01                  17     False             NaN            0.109858
        MDQ6VXNlcjE5OQ==   2016-07-01 2016-07-19                  19     False             NaN            0.006230
        MDQ6VXNlcjE5OQ==   2016-08-06 2016-09-20                  46     False             NaN            0.018238
        MDQ6VXNlcjE5OQ==   2017-07-12 2017-09-28                  79     False             NaN            0.001901
        MDQ6VXNlcjE5OQ==   2018-04-19 2018-08-12                 116     False             NaN            0.000511
        MDQ6VXNlcjE5OQ==   2018-08-14 2018-08-15                   2     False             NaN            0.257646
        MDQ6VXNlcjE5OQ==   2018-08-18 2018-08-19                   2      True            14.0            0.351385
        MDQ6VXNlcjE5OQ==   2019-05-20 2019-06-22                  34      True             8.0            0.772369
        MDQ6VXNlcjE5OQ==   2019-06-24 2019-06-25                   2      True            14.0            0.614192
        MDQ6VXNlcjE5OQ==   2019-10-08 2019-11-25                  49      True            14.0            0.940683
        MDQ6VXNlcjE5OQ==   2020-01-18 2020-02-27                  41      True            12.0            0.482235
        MDQ6VXNlcjE5OQ==   2020-02-29 2020-03-02                   3     False             NaN            0.130716
        MDQ6VXNlcjE5OQ==   2020-03-04 2020-03-04                   1     False             NaN            0.088209
        MDQ6VXNlcjE5OQ==   2020-07-04 2020-08-10                  38     False             NaN            0.004960
        MDQ6VXNlcjE5OQ==   2020-11-06 2021-02-10                  97     False             NaN            0.000627
        MDQ6VXNlcjE5OQ==   2021-05-04 2021-07-26                  84      True            14.0            0.928065
        MDQ6VXNlcjE5OQ==   2021-11-25 2022-05-10                 167     False             NaN            0.000118
        MDQ6VXNlcjE5OQ==   2022-05-12 2022-05-15                   4      True            14.0            0.508329
        MDQ6VXNlcjE5OQ==   2022-09-07 2022-11-02                  57      True            14.0            0.998047
        MDQ6VXNlcjE5OQ==   2022-12-05 2023-08-07                 246      True            14.0            0.707928
        MDQ6VXNlcjE5OQ==   2023-09-09 2023-11-14                  67      True            14.0            0.941050
        MDQ6VXNlcjE5OQ==   2023-12-17 2024-01-29                  44      True            14.0            0.862704
        MDQ6VXNlcjE5OQ==   2024-01-31 2024-02-01                   2      True            14.0            0.942278
        MDQ6VXNlcjE5OQ==   2024-02-03 2024-02-13                  11      True            14.0            0.991693
        MDQ6VXNlcjE5OQ==   2024-02-15 2024-02-15                   1      True            14.0            0.877335
        MDQ6VXNlcjE5OQ==   2024-02-17 2024-02-20                   4      True            14.0            0.813791
        MDQ6VXNlcjE5OQ==   2024-02-23 2024-02-27                   5      True            14.0            0.710382
        MDQ6VXNlcjE5OQ==   2024-04-03 2024-05-13                  41      True            14.0            0.958107
        MDQ6VXNlcjE5OQ==   2024-06-22 2024-09-18                  89     False             NaN            0.043466
        MDQ6VXNlcjE5OQ==   2024-11-15 2025-01-27                  74     False             NaN            0.142107
        MDQ6VXNlcjE5OQ==   2025-01-29 2025-03-04                  35      True            14.0            0.479987
        MDQ6VXNlcjE5OQ==   2025-03-09 2025-04-18                  41     False             NaN            0.199190
        MDQ6VXNlcjE5OQ==   2025-07-07 2025-09-15                  71      True             3.0            0.446337
        MDQ6VXNlcjEzNw==   2008-05-15 2008-05-30                  16     False             NaN                 NaN
        MDQ6VXNlcjEzNw==   2008-09-29 2008-10-13                  15      True            14.0            0.925096
